Edge,From,To,Relationship,Score
643,DRD4,ADRA2B,Interaction,914
644,CX3CL1,GPER1,Interaction,900
645,DRD4,GPER1,Interaction,907
646,CX3CL1,CCL19,Interaction,954
647,DRD4,CCL19,Interaction,900
650,CCL22,CCL19,Interaction,795
657,CX3CL1,NPB,Interaction,900
658,DRD4,NPB,Interaction,903
659,CX3CL1,TAS1R3,Interaction,900
660,TRPM5,TAS1R3,Interaction,860
661,DRD4,TAS1R3,Interaction,912
663,CX3CL1,GPR37L1,Interaction,905
664,DRD4,GPR37L1,Interaction,931
665,CX3CL1,P2RY4,Interaction,902
666,DRD4,P2RY4,Interaction,907
670,HGF,PTGS2,Interaction,812
675,IL2RB,CSF2,Interaction,940
680,CX3CL1,TAS2R41,Interaction,900
681,DRD4,TAS2R41,Interaction,900
682,CX3CL1,GALR1,Interaction,902
683,DRD4,GALR1,Interaction,910
685,CX3CL1,NMU,Interaction,900
686,UTS2,NMU,Interaction,931
687,DRD4,NMU,Interaction,910
688,PROKR2,NMU,Interaction,900
689,MLNR,NMU,Interaction,933
690,CX3CL1,TMIGD3,Interaction,921
691,DRD4,TMIGD3,Interaction,924
692,CX3CL1,HCAR1,Interaction,909
693,DRD4,HCAR1,Interaction,902
694,CX3CL1,GPR37,Interaction,904
695,DRD4,GPR37,Interaction,900
697,CX3CL1,CCL20,Interaction,958
698,DRD4,CCL20,Interaction,900
700,CCL22,CCL20,Interaction,701
701,CX3CL1,TAS2R43,Interaction,900
702,DRD4,TAS2R43,Interaction,900
703,CX3CL1,NPY2R,Interaction,904
704,DRD4,NPY2R,Interaction,919
706,TBX21,IL13,Interaction,837
708,IL2RB,IL13,Interaction,765
710,CCL22,IL13,Interaction,968
713,CX3CL1,CXCR6,Interaction,948
714,DRD4,CXCR6,Interaction,900
718,CCL22,CXCR6,Interaction,754
719,CX3CL1,GNAI1,Interaction,902
720,DRD4,GNAI1,Interaction,919
721,CX3CL1,FPR3,Interaction,905
722,DRD4,FPR3,Interaction,904
724,CX3CL1,CNR1,Interaction,921
725,DRD4,CNR1,Interaction,965
726,CX3CL1,CORT,Interaction,900
727,DRD4,CORT,Interaction,923
728,CX3CL1,GRM2,Interaction,904
729,DRD4,GRM2,Interaction,952
733,SCT,GPR15,Interaction,900
735,AQP8,RHBDF1,Interaction,708
741,CYP24A1,NR1I2,Interaction,729
745,ACR,ZP2,Interaction,766
746,ITGB4,PARVA,Interaction,715
748,ITGB8,PARVA,Interaction,703
751,ITGB4,LAMA3,Interaction,962
752,HGF,LAMA3,Interaction,902
754,ITGB4,ITGA8,Interaction,920
755,ITGB8,ITGA8,Interaction,965
761,ITGB4,LAMA4,Interaction,955
762,HGF,LAMA4,Interaction,908
763,ITGB8,LAMA4,Interaction,731
765,ITGB4,COL4A5,Interaction,735
767,NTN1,BCAR1,Interaction,925
768,ITGB4,BCAR1,Interaction,719
770,HGF,BCAR1,Interaction,929
774,HGF,LAMC3,Interaction,900
788,ITGB4,COL4A3,Interaction,709
795,ITGB4,ITGA2,Interaction,936
797,HGF,ITGA2,Interaction,916
798,ITGB8,ITGA2,Interaction,958
802,ITGB8,VTN,Interaction,949
806,ITGB4,LAMC2,Interaction,958
807,HGF,LAMC2,Interaction,909
813,TFAP2D,KCTD1,Interaction,926
814,TFAP2D,CITED1,Interaction,900
818,STX1B,ST8SIA2,Interaction,712
821,UTS2,TACR2,Interaction,900
822,PROKR2,TACR2,Interaction,906
823,MLNR,TACR2,Interaction,918
825,SCT,VIPR2,Interaction,973
827,LRRC7,PTX3,Interaction,900
828,LRRC7,PRG3,Interaction,901
830,LRRC7,AOC1,Interaction,908
831,LRRC7,HP,Interaction,906
840,STX1B,SNAP25,Interaction,996
856,TBX21,PRF1,Interaction,799
857,IL2RB,PRF1,Interaction,859
858,GZMB,PRF1,Interaction,999
860,OSM,IL2RA,Interaction,719
861,IL2RB,IL2RA,Interaction,996
876,IL2RB,CD8A,Interaction,965
877,GZMB,CD8A,Interaction,803
880,DCN,CCN2,Interaction,802
886,SCT,GIPR,Interaction,949
888,DRD4,MAOA,Interaction,787
894,DCN,BCAN,Interaction,956
896,DCN,B3GAT1,Interaction,902
900,SCT,HTR7,Interaction,935
901,SCT,CALCRL,Interaction,950
903,SCT,RXFP2,Interaction,910
904,SCT,RXFP1,Interaction,908
906,SCT,ADM,Interaction,926
908,UTS2,GPR39,Interaction,900
909,SCT,GPR39,Interaction,909
910,PROKR2,GPR39,Interaction,900
911,MLNR,GPR39,Interaction,925
912,SCT,CALCR,Interaction,952
913,SCT,HTR6,Interaction,907
914,SCT,GPR20,Interaction,907
915,SCT,FSHB,Interaction,900
916,SCT,RAMP1,Interaction,939
918,RHOV,A2M,Interaction,902
919,HGF,A2M,Interaction,917
922,STX1B,CPLX1,Interaction,964
927,STX1B,UNC13B,Interaction,841
945,GZMB,NCAM1,Interaction,751
946,FGF20,TEK,Interaction,748
947,HGF,TEK,Interaction,823
953,DCN,CHSY3,Interaction,910
