"Gene","fold_change.x","fold_change.y","STRING_id"
"DUSP7",2.72300812989731,2.72300812989731,"9606.ENSP00000417183"
"DXO",2.72300812989731,2.72300812989731,"9606.ENSP00000364498"
"DYNLT3",2.72300812989731,2.72300812989731,"9606.ENSP00000367841"
"EFCAB2",2.30328902877688,2.30328902877688,"9606.ENSP00000355480"
"EGLN3",3.37928300467103,3.37928300467103,"9606.ENSP00000250457"
"ELMO2",3.72298129589468,3.72298129589468,"9606.ENSP00000290246"
"EMSY",2.72300812989731,2.72300812989731,"9606.ENSP00000433205"
"ENO4",4.22820156209255,4.22820156209255,"9606.ENSP00000345555"
"ENSG00000251246",2.93569090398304,2.93569090398304,"9606.ENSP00000426741"
"ENSG00000276760",2.3483909650549,2.3483909650549,"9606.ENSP00000478796"
"EOMES",6.42344172125993,6.42344172125993,"9606.ENSP00000388620"
"EPC2",5.72295931293556,5.72295931293556,"9606.ENSP00000258484"
"EPM2AIP1",3.72298129589468,3.72298129589468,"9606.ENSP00000406027"
"EXOSC1",2.72300812989731,2.72300812989731,"9606.ENSP00000359939"
"F2RL1",4.30792721071609,4.30792721071609,"9606.ENSP00000296677"
"FAM162B",2.72300812989731,2.72300812989731,"9606.ENSP00000357545"
"FBXL15",2.37428504810396,2.37428504810396,"9606.ENSP00000224862"
"FBXO44",3.72298129589468,3.72298129589468,"9606.ENSP00000365961"
"FGD1",3.72298129589468,3.72298129589468,"9606.ENSP00000364277"
"FGFBP3",2.4704852118478,2.4704852118478,"9606.ENSP00000339067"
"FKTN",2.19923293633161,2.19923293633161,"9606.ENSP00000223528"
"FPGT-TNNI3K",7.18246689064773,7.18246689064773,"9606.ENSP00000450895"
"FPGT-TNNI3K",7.18246689064773,7.18246689064773,"9606.ENSP00000322251"
"FRAT1",5.93118514467404,5.93118514467404,"9606.ENSP00000360060"
"FUS",2.30971851461275,2.30971851461275,"9606.ENSP00000254108"
"FUT9",2.72300812989731,2.72300812989731,"9606.ENSP00000302599"
"GBF1",4.30792721071609,4.30792721071609,"9606.ENSP00000359000"
"GCKR",6.62990286605701,6.62990286605701,"9606.ENSP00000264717"
"GCOM1",3.06235053170045,3.06235053170045,"9606.ENSP00000465231"
"GDE1",2.23128104901812,2.23128104901812,"9606.ENSP00000261386"
"GIN1",4.55242862546066,4.55242862546066,"9606.ENSP00000381970"
"GLO1",5.46168985790082,5.46168985790082,"9606.ENSP00000362463"
"GLRB",2.72300812989731,2.72300812989731,"9606.ENSP00000264428"
"GPATCH3",4.72295308154566,4.72295308154566,"9606.ENSP00000354645"
"GPR35",3.7612065301603,3.7612065301603,"9606.ENSP00000411788"
"GPX4",3.72298129589468,3.72298129589468,"9606.ENSP00000346103"
"GTF2B",2.72300812989731,2.72300812989731,"9606.ENSP00000359531"
"HAGHL",2.10873169679395,2.10873169679395,"9606.ENSP00000374353"
"HAS3",2.07046822724173,2.07046822724173,"9606.ENSP00000304440"
"HIGD2A",2.18487715585512,2.18487715585512,"9606.ENSP00000274787"
"HMOX2",2.72300812989731,2.72300812989731,"9606.ENSP00000477572"
"HOGA1",2.62887663747272,2.62887663747272,"9606.ENSP00000359680"
