"Betweenness Dir","Bridging Dir","Centroid Dir","Closeness Dir","COMMON","Degree unDir","degree.layout","Eccentricity Dir","EigenVector Dir","gal1RGexp","gal1RGsig","gal4RGexp","gal4RGsig","gal80Rexp","gal80Rsig","InDegree","name","OutDegree","Radiality Dir","selected","shared name","Stress Dir"
"0.0","0.0","0.0","0.0",,"3.0","3","0.0","0.0",,,,,,,"3.0","""SDC1""","0.0","0.0011135857461024498","false","""SDC1""","0.0"
"0.0","0.0","0.0","0.0",,"1.0","1","0.0","0.0",,,,,,,"1.0","""AGRN""","0.0","0.0011135857461024498","false","""AGRN""","0.0"
"0.0","0.0","0.0","0.0",,"1.0","1","0.0","0.0",,,,,,,"1.0","""GPC5""","0.0","0.0011135857461024498","false","""GPC5""","0.0"
"0.0","0.0","0.0","0.0",,"1.0","1","0.0","0.0",,,,,,,"1.0","""TNS4""","0.0","0.0011135857461024498","false","""TNS4""","0.0"
"0.0","0.0","0.0","0.0",,"1.0","1","0.0","0.0",,,,,,,"1.0","""GPC1""","0.0","0.0011135857461024498","false","""GPC1""","0.0"
"0.0","0.0","0.0","0.0",,"1.0","1","0.0","0.0",,,,,,,"1.0","""RORC""","0.0","0.0011135857461024498","false","""RORC""","0.0"
"0.0","0.0","0.0","0.0",,"2.0","2","0.0","0.0",,,,,,,"2.0","""RHOD""","0.0","0.0011135857461024498","false","""RHOD""","0.0"
"0.0","0.0","-11.0","11.0",,"11.0","11","1.0","0.0",,,,,,,"0.0","""NTN1""","11.0","0.0011273957158962795","false","""NTN1""","0.0"
"0.0","0.0","0.0","0.0",,"1.0","1","0.0","0.0",,,,,,,"1.0","""UNC5A""","0.0","0.0011135857461024498","false","""UNC5A""","0.0"
"0.0","0.0","0.0","0.0",,"2.0","2","0.0","0.0",,,,,,,"2.0","""CDH1""","0.0","0.0011135857461024498","false","""CDH1""","0.0"
"0.0","0.0","0.0","0.0",,"3.0","3","0.0","0.0",,,,,,,"3.0","""MET""","0.0","0.0011135857461024498","false","""MET""","0.0"
"0.0","0.0","0.0","0.0",,"2.0","2","0.0","0.0",,,,,,,"2.0","""SLIT1""","0.0","0.0011135857461024498","false","""SLIT1""","0.0"
"0.0","0.0","-1.0","1.0",,"1.0","1","1.0","0.0",,,,,,,"0.0","""HOXA2""","1.0","0.0011148272017837235","false","""HOXA2""","0.0"
"0.0","0.0","0.0","0.0",,"3.0","3","0.0","0.0",,,,,,,"3.0","""BDNF""","0.0","0.0011135857461024498","false","""BDNF""","0.0"
"0.0","0.0","0.0","0.0",,"1.0","1","0.0","0.0",,,,,,,"1.0","""DSCAM""","0.0","0.0011135857461024498","false","""DSCAM""","0.0"
"0.0","0.0","0.0","0.0",,"1.0","1","0.0","0.0",,,,,,,"1.0","""NEO1""","0.0","0.0011135857461024498","false","""NEO1""","0.0"
"0.0","0.0","0.0","0.0",,"4.0","4","0.0","0.0",,,,,,,"4.0","""VEGFA""","0.0","0.0011135857461024498","false","""VEGFA""","0.0"
"0.0","0.0","-8.0","8.0",,"8.0","8","1.0","0.0",,,,,,,"0.0","""OSM""","8.0","0.0011235955056179776","false","""OSM""","0.0"
